career,profile
Backend Developer,"Backend Developer
Kitameraki LimitedKitameraki is a  Technology &amp; Operations consulting firm for companies across Southeast Asia.We are Passionate Consultants &amp;...
nan"
Backend Developer,"Backend Developer
About US: Established in 2012, PT Juke Solusi Teknologi is focusing on IT solution. During our existences in IT Business, PT Juke Solusi Teknologi has...
nan"
Backend Developer,"Backend Developer
You can visit us at https://www.zettabyte.life/ for more information.Job DescriptionWe are looking for a Back-End Web Developer responsible for...
Great Working location: Located in Jogja and Bali,Improvement in Skills: Free high-quality training,Social and Sport Activities and Stress Reliever"
Backend Developer,"Backend Developer
KUALIFIKASI:- Lulusan SMA/SMK, Diploma, Sarjana (Keahlian lebih diutamakan)- Minimum 1 - 3 tahun atau lebih pengalaman terkait / Pernah membuat...
nan"
Backend Developer,"Backend Developer
Job Description: Collaborate with cross-functional teams on software development planning and execution Perform software design, development, and...
Competitive Salary,Career Path,Learn new technology"
Backend Developer,"Backend Developer
Job Description Get involved in a team of web applications, web sites, web commerce projects development. Analyze application requirements and comply...
nan"
Backend Developer,"Backend Developer
DescriptionAn experienced Backend Engineer with strong ability to work as a team. Responsible to design and develop highly reliable, fault-tolerant...
Medical/ Health Insurance,Growth Career,Development Program"
Backend Developer,"Backend Developer
If you are Backend Developer looking for building software with quality and standards, Skyshi is the right place. Our goal is to make engineers...
Fun and Friendly Workplace,Skyshi Growth Developement,Blameless Culture and Transparant"
Backend Developer,"Backend Developer
Job Description: A back-end web developer is responsible for server-side web application logic and integration of the work front-end web developers...
nan"
Backend Developer,"Backend Developer
Kami membuka lowongan pekerjaan untuk posisi Backend Developer dengan persyaratan sebagai berikut: Maksimal usia 30 tahun Pendidikan maksimal D3/S1...
nan"
Backend Developer,"Backend Developer
Ruangguru is a tech-enabled education company that provides a one-stop learning experience for students to have better access to quality content and...
nan"
Backend Developer,"Backend Developer
We are looking for coders who loves coding and appreciate the wonders that lines of codes can conjure. You must have the passion to solve problems,...
nan"
Backend Developer,"Backend Developer
Kualifikasi1. Usia 25-35 Tahun, dengan Pengalaman minimal 1-2 tahun 2. Lulusan D3/S1 Teknik Informatika / Sistem Informasi / Manajemen Informatika3....
nan"
Backend Developer,"Backend Developer
Job Description : We are looking for an analytical, results-driven Back-end Developer who will work with team members to troubleshoot and improve...
nan"
Backend Developer,"Backend Developer
Hello!We are a South Korea-based enterprise software company, is urgently hiring a Full time Backend Developer. Currently we are building a new tech...
nan"
Backend Developer,"Backend Developer
Our Stack Node, GraphQL, Apollo, Express, Babel, TypeScript, Prisma, SQL, Docker Java  Requirements 2+ years of experience designing, developing...
Salary package,Career growth"
Backend Developer,"Backend Developer
Responsibility: Participate in the full development lifecycle activities of the product (design, coding, testing &amp; deployment activities)....
nan"
Backend Developer,"Backend Developer
Job Description: Develop back-end API in application using Microservices architecture, Spring Boot framework, Java programming language and other...
nan"
Backend Developer,"Backend Developer
Job Responsibilities: Researching, designing, implementing, and managing software programs Testing and evaluating new programs Identifying areas for...
nan"
Backend Developer,"Backend Developer
Job Description: Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement. Collaborating with the...
nan"
Sales Executive,"Sales Executive
Min Diploma of Communication, Marketing and Hotel ManagementMin 2 years experience as Sales ExecutiveFluent in EnglishGood CommunicationCustomer...
nan"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Proactively do the direct sales including look for new client and network widening Assist on Marketing Plans / Strategy on the sales of property...
nan"
Sales Executive,"Sales Executive
Deskripsi Pekerjaan : Melakukan penjualan produk Retail seperti, Bearring &amp; Tools Maintain klien Melakukan visit untuk presentasi terhadap klien...
nan"
Sales Executive,"Sales Executive
Uraian Pekerjaan : Merencanakan dan membuat Mapping area dan menyusun target penjualan bulanan Selalu aktif dalam mencari target new customer HORECA...
nan"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan...
BPJS Kesehatan dan Ketenagakerjaan,Bonus Kinerja (Insentif),Waktu kerja yang fleksibel"
Sales Executive,"Sales Executive
Kami adalah perusahaan pengembang property (developer) yang berlokasi di kawasan kota mandiri Sentul Bogor, kini kami sedang membutuhkan dan mencari...
nan"
Sales Executive,"Sales Executive
Responsibilities : Create &amp; follow up quotation to both customer and factory. Assist sales team to achieve target. Create new customer and market....
nan"
Sales Executive,"Sales Executive
Syarat Pekerjaan:• Pendidikan minimal SMA/SMK/D3• Menguasai bidang penjualan• Pengalaman minimal 3 Tahun• Diutamakan berpengalaman dibidang Penjualan...
nan"
Sales Executive,"Sales Executive
GENERAL QUALIFICATION : Maximum age 30 years old Minimum Diploma / Bachelor Degree from all departments Having the ability and desire to sell products...
nan"
Sales Executive,"Sales Executive
·       Bertanggung Jawab atas pencapaian target pada Area Penempatan·       Melakukan kunjungan ke outlet pada Area Penempatan·       Pengembangan...
Fast growing company with monthly performance incentive"
Sales Executive,"Sales Executive
Tanggung Jawab: Mempresentasikan produk. Mencapai target penjualan. Menjalin interaksi &amp; menjaga hubungan yang baik dengan pelanggan. Mengurus...
nan"
Frontend Developer,"Frontend Developer
Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...
nan"
Frontend Developer,"Frontend Developer
About US: Established in 2012, PT Juke Solusi Teknologi is focusing on IT solution. During our existences in IT Business, PT Juke Solusi Teknologi has...
nan"
Frontend Developer,"Frontend Developer
We are looking for talented developers to join an experienced team of front-end engineers working on our flagship product Telflow, a multi-award...
Using latest technology,Friendly working environment,Wider learning opportunities"
Frontend Developer,"Frontend Developer
Responsibilities : Delivering a complete application Ensuring high performance on application Cooperating with the team in the process of building the...
nan"
Frontend Developer,"Frontend Developer
SigmaTech is looking for joining our team with The Job Desk, Qualifications &amp; Compensation Benefit as below :Requirements: Bachelor Degree in...
Great Working Environment,Good Salary & Benefit,Great Career Advancement"
Frontend Developer,"Frontend Developer
Tanggung jawab : Merubah mockup website dari gambar menjadi versi HTML Membuat event sesuai pada tampilan HTML, seperti aksi pada tombol untuk pilih...
nan"
Frontend Developer,"Frontend Developer
Deskripsi Pekerjaan Develop application Bugs and Fixed application Enhancement application Requirement : Candidate must possess at least Diploma or...
nan"
Frontend Developer,"Frontend Developer
Job Description Get involved in a team of web applications, web sites, web commerce projects development. Analyze application requirements and comply...
nan"
Frontend Developer,"Frontend Developer
DescriptionAn experienced Front End Engineer with strong ability to collaborate as a team with other members. Responsible to develop and maintain user...
Medical/ Health Insurance,Growth Career,Development Program"
Frontend Developer,"Frontend Developer
Minimal D3/S1 dari jurusan Teknik Informatika, Ilmu Komputer dan sejenisnya Paham prinsip ilmu desain dan punya pengalaman dengan aplikasi design...
nan"
Frontend Developer,"Frontend Developer
Ruangguru is a tech-enabled education company that provides a one-stop learning experience for students to have better access to quality content and...
nan"
Frontend Developer,"Frontend Developer
Requirements:- Minimum a Bachelor Degree (S1) majoring in Computer Science or equivalent.- Minimum 4 year of experience as Front-End Developer-...
nan"
Frontend Developer,"Frontend Developer
About Mitra InformatikaMitra Informatika is an IT company based in Surabaya that positioning itself to become the market leader in providing...
nan"
